title,company,location,salary,description,skills,source,salary_min,salary_max,salary_period,standardized_title,experience_years,education_level,city,state,standardized_title_encoded,company_encoded,city_encoded,state_encoded,education_level_encoded,salary_period_encoded,source_encoded,salary_min_scaled,salary_max_scaled,experience_years_scaled,Python,Java,JavaScript,C++,C#,SQL,NoSQL,MongoDB,React,Angular,Vue,Node.js,AWS,Azure,GCP,Docker,Kubernetes,Git,CI/CD,Jenkins,TensorFlow,PyTorch,Scikit-learn,Pandas,NumPy,R,Tableau,Power BI,Excel,Machine Learning,Deep Learning,NLP,Computer Vision,Data Analysis,Data Visualization,Statistics,Agile,Scrum,Project Management,REST API,GraphQL,Django,Flask,Spring,Hibernate,TypeScript,Go,Rust,Swift,Kotlin,PHP,Ruby,Rails,Linux,Unix,Windows Server,desc_svd_0,desc_svd_1,desc_svd_2,desc_svd_3,desc_svd_4,desc_svd_5,desc_svd_6,desc_svd_7,desc_svd_8,desc_svd_9,city_state,is_tech_hub,state_CA,state_CO,state_FL,state_GA,state_IL,state_MA,state_NY,state_TX,state_WA,is_tech_giant,experience_level,exp_Not Specified,exp_Entry Level,exp_Mid Level,exp_Senior,exp_Expert,education_rank,edu_Bachelor's,edu_Master's,edu_Not Specified,salary_avg,salary_annual,salary_range,salary_range_pct
Machine Learning Engineer,AI Solutions,"San Francisco, CA",$96662 - $113605,Call consider pick other no interview. Article foot lay full past. Water race after technology.,"Go, Windows Server, Scikit-learn, GCP, Unix, Flask",CareerBuilder,96662.0,113605.0,annual,Machine Learning Engineer,,Not Specified,San Francisco,CA,2,0,8,0,2,0,0,1.5214134168599058,1.2045741178776923,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19852813795398144,0.2561229489339608,-0.0373589962597415,0.23774201436656564,-0.15789221442635681,0.06627303873613406,0.03885571454111238,-0.20641956982197154,-0.18090766521380486,0.27069565698883336,San Francisco_CA,1,True,False,False,False,False,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,105133.5,105133.5,16943.0,17.528087562847862
Cloud Engineer,Cloudify,"Atlanta, GA",$51616 - $70441,Understand many international read nation court town run. Baby weight chance force. Make than old behind expert throughout recently. Hear read something. Stock occur wear house live officer. House suddenly imagine.,"Unix, NLP, Project Management, AWS, Scrum, Statistics, Tableau",SimplyHired,51616.0,70441.0,annual,DevOps Engineer,,Bachelor's,Atlanta,GA,1,1,0,3,0,0,2,-1.6419868542985534,-1.5942747561597692,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1466684690309269,-0.1034860202913328,0.005986666520341053,-0.17345380631477297,0.24015171362498747,0.23460299589450664,0.05492021917089923,-0.14690596797963834,-0.015122396492794746,0.0349865403020584,Atlanta_GA,0,False,False,False,True,False,False,False,False,False,0,Not Specified,True,False,False,False,False,3,True,False,False,61028.5,61028.5,18825.0,36.4712492250465
Machine Learning Engineer,DevOpsPro,"Boston, MA",$94753 - $123291,Behind daughter long vote executive pick wonder. Cover several central against. Body human yeah board party. Study near run get. Century partner return knowledge trade.,"NumPy, Azure, Spring, Vue, TypeScript, Data Visualization, Docker, Computer Vision, PyTorch, Rust",CareerBuilder,94753.0,123291.0,annual,Machine Learning Engineer,,Not Specified,Boston,MA,2,4,2,5,2,0,0,1.3873519881505532,1.832635701464173,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16995194284549384,-0.0018279056657105972,0.027096865257908605,0.00970752199403983,-0.054153283716378044,-0.08250359836175394,0.01942361980180594,0.025671534475916503,0.032987116941594966,0.12559122768870273,Boston_MA,1,False,False,False,False,False,True,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,109022.0,109022.0,28538.0,30.118307599759376
Full Stack Developer,CodeMasters,"Chicago, IL",$80782 - $109344,Move various protect and last plan eat. Treat citizen young through detail discussion. Ten sell style it. Less bring she because a parent budget.,"Agile, Azure, SQL, Deep Learning",Glassdoor,80782.0,109344.0,annual,Software Engineer,,Not Specified,Chicago,IL,5,2,3,4,2,0,1,0.4062245808701102,0.9282814885506229,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18064541569476808,-0.0037224014007658547,0.08482194676752618,0.07302394589755933,-0.07329522700254816,0.06581932189878627,0.10650601509728562,0.11984750686561904,0.0033768174316076444,-0.12642748121529643,Chicago_IL,0,False,False,False,False,True,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,95063.0,95063.0,28562.0,35.35688643509693
Database Administrator,InnovateX,"Chicago, IL",$61834 - $90763,Store public them eight. It woman business tough. Almost during seven worker son near.,"Excel, Kubernetes, NumPy",Glassdoor,61834.0,90763.0,annual,Other,,Not Specified,Chicago,IL,3,6,3,4,2,0,1,-0.9244176146169583,-0.2765514956141921,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17730804944171422,0.036004702812164724,0.10143127333532607,0.07147126851599016,-0.09973516547428304,0.01923446421926531,-0.013660290273010625,0.0399667583792714,0.10786886916798648,-0.12840430621285334,Chicago_IL,0,False,False,False,False,True,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,76298.5,76298.5,28929.0,46.78494032409354
Full Stack Developer,WebWizards,"New York, NY",$90548 - $120350,Billion can question claim build improve six fill. Dog through piece north PM participant market western. Health find change people discuss forget. Radio guess page check prove or community. Investment theory commercial thing. Success mean step maybe quite.,"NLP, Azure, NumPy, Django, Scikit-learn, Project Management, AWS, Docker, Spring, C++",SimplyHired,90548.0,120350.0,annual,Software Engineer,,Not Specified,New York,NY,5,9,7,6,2,0,2,1.0920516698043887,1.6419347808232645,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14256030732489755,0.07319812059505797,-0.002412736837308929,-0.159214578151675,-0.11350426146307414,-0.008446425203257992,0.13950191514596377,-0.05381772440444235,0.13016128163783408,0.07359845969717219,New York_NY,1,False,False,False,False,False,False,True,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,105449.0,105449.0,29802.0,32.91293015858992
Data Scientist,InnovateX,"Austin, TX",$66506 - $91075,Their ten where three. Maybe hit free money indicate work into. New bad move guy boy few analysis least. Face team perhaps watch speak though your nice. First enjoy performance there very order place. Ten model street political.,"Scrum, Kubernetes, NLP, Pandas",SimplyHired,66506.0,91075.0,annual,Data Scientist,,Bachelor's,Austin,TX,0,6,1,7,0,0,2,-0.5963217555650486,-0.25632072810655404,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18209301646148685,-0.09384707296512362,-0.14436557791838417,0.13693587678958313,0.07862018914573368,-0.10427170844339255,0.16425800029663107,-0.014517640268992167,0.14536011519229855,-0.07012652379248298,Austin_TX,1,False,False,False,False,False,False,False,True,False,0,Not Specified,True,False,False,False,False,3,True,False,False,78790.5,78790.5,24569.0,36.942531500917205
Frontend Developer,TechCorp,"Denver, CO",$69633 - $80991,Study project our institution everything cultural. Seem he traditional such. Case me level whether summer.,"Project Management, Azure, Python, Swift, R, Go",Glassdoor,69633.0,80991.0,annual,Software Engineer,,Not Specified,Denver,CO,5,8,4,1,2,0,1,-0.37672506223128976,-0.9101895087059833,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Denver_CO,0,False,True,False,False,False,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,75312.0,75312.0,11358.0,16.31123174356986
Cloud Engineer,WebWizards,"Seattle, WA",$94458 - $105709,Investment send dinner career military. Writer where voice join somebody wind reveal sign. Will them between cell current. Herself fast work remember street around main. Admit thousand bag.,"SQL, Swift, TensorFlow",SimplyHired,94458.0,105709.0,annual,DevOps Engineer,,Bachelor's,Seattle,WA,1,9,9,8,0,0,2,1.366635318968123,0.6925800786459297,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13679916892218544,0.061534725397867265,-0.018254153493030337,-0.18413432283355086,-0.2029410224997632,0.009349144486115006,-0.04894252388841766,0.10095656705225871,-0.00026530138280010055,-0.19670035768678024,Seattle_WA,1,False,False,False,False,False,False,False,False,True,0,Not Specified,True,False,False,False,False,3,True,False,False,100083.5,100083.5,11251.0,11.911113934235322
UX/UI Designer,Cloudify,"Austin, TX",$99797 - $113840,Into call issue determine. Practice others eight not lawyer form training. Feeling speech source as purpose focus research guy. Ten design knowledge practice skin quickly bring because. Special smile camera may exist quite. Research ready increase tax.,"PHP, Jenkins, Docker, NumPy, Node.js, Excel, CI/CD, NoSQL, SQL, Flask",Glassdoor,99797.0,113840.0,annual,UX/UI Designer,,Not Specified,Austin,TX,6,1,1,7,2,0,1,1.7415719181714933,1.2198120357119708,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2194086682198365,0.22192387757710824,-0.07941541370897867,-0.06941421328648958,0.012957395514843147,-0.1419391444661484,0.1036591583596436,-0.06792599077995758,0.014141057960791886,0.06453052632918183,Austin_TX,1,False,False,False,False,False,False,False,True,False,0,Not Specified,True,False,False,False,False,0,False,False,True,106818.5,106818.5,14043.0,14.07156527751335
