feature,importance
salary_avg,0.9999705236533173
salary_max_scaled,9.135063644282129e-06
salary_min_scaled,8.570591352412584e-06
salary_max,6.044166133071044e-06
salary_min,1.7193461992567374e-06
desc_svd_7,5.335795542233875e-07
salary_range,4.930764145383178e-07
salary_range_pct,3.81530803644131e-07
desc_svd_3,3.2151654732247397e-07
desc_svd_0,3.125080546123308e-07
desc_svd_4,2.403966661750235e-07
desc_svd_1,2.33754789594462e-07
desc_svd_2,2.226352186629903e-07
city_encoded,2.08783565812622e-07
desc_svd_9,2.01943136226298e-07
desc_svd_8,1.9767305687663518e-07
source_encoded,1.730995051045969e-07
desc_svd_5,1.6520972760010738e-07
state_encoded,1.3821387929628083e-07
standardized_title_encoded,6.908130597730364e-08
company_encoded,4.6687833511506346e-08
education_rank,3.336533348509659e-08
is_tech_hub,1.9438094718155963e-08
desc_svd_6,1.4685866342763053e-08
NoSQL,0.0
MongoDB,0.0
Python,0.0
salary_period_encoded,0.0
education_level_encoded,0.0
SQL,0.0
C#,0.0
C++,0.0
JavaScript,0.0
Java,0.0
React,0.0
NumPy,0.0
Angular,0.0
Vue,0.0
Node.js,0.0
AWS,0.0
Azure,0.0
GCP,0.0
Docker,0.0
Kubernetes,0.0
Git,0.0
CI/CD,0.0
Jenkins,0.0
TensorFlow,0.0
PyTorch,0.0
Scikit-learn,0.0
Pandas,0.0
REST API,0.0
Project Management,0.0
Scrum,0.0
Agile,0.0
Statistics,0.0
Data Visualization,0.0
Data Analysis,0.0
Computer Vision,0.0
NLP,0.0
Deep Learning,0.0
Machine Learning,0.0
Excel,0.0
Power BI,0.0
Tableau,0.0
R,0.0
GraphQL,0.0
Windows Server,0.0
Unix,0.0
Linux,0.0
Rails,0.0
Ruby,0.0
PHP,0.0
Kotlin,0.0
Swift,0.0
Rust,0.0
Go,0.0
TypeScript,0.0
Hibernate,0.0
Spring,0.0
Flask,0.0
Django,0.0
is_tech_giant,0.0
