title,company,location,salary,description,skills,source,salary_min,salary_max,salary_period,standardized_title,experience_years,education_level,city,state,standardized_title_encoded,company_encoded,city_encoded,state_encoded,education_level_encoded,salary_period_encoded,source_encoded,salary_min_scaled,salary_max_scaled,experience_years_scaled
Machine Learning Engineer,AI Solutions,"San Francisco, CA",$96662 - $113605,Call consider pick other no interview. Article foot lay full past. Water race after technology.,"Go, Windows Server, Scikit-learn, GCP, Unix, Flask",CareerBuilder,96662.0,113605.0,annual,Machine Learning Engineer,,Not Specified,San Francisco,CA,2,0,8,0,2,0,0,1.5214134168599058,1.2045741178776923,
Cloud Engineer,Cloudify,"Atlanta, GA",$51616 - $70441,Understand many international read nation court town run. Baby weight chance force. Make than old behind expert throughout recently. Hear read something. Stock occur wear house live officer. House suddenly imagine.,"Unix, NLP, Project Management, AWS, Scrum, Statistics, Tableau",SimplyHired,51616.0,70441.0,annual,DevOps Engineer,,Bachelor's,Atlanta,GA,1,1,0,3,0,0,2,-1.6419868542985534,-1.5942747561597692,
Machine Learning Engineer,DevOpsPro,"Boston, MA",$94753 - $123291,Behind daughter long vote executive pick wonder. Cover several central against. Body human yeah board party. Study near run get. Century partner return knowledge trade.,"NumPy, Azure, Spring, Vue, TypeScript, Data Visualization, Docker, Computer Vision, PyTorch, Rust",CareerBuilder,94753.0,123291.0,annual,Machine Learning Engineer,,Not Specified,Boston,MA,2,4,2,5,2,0,0,1.3873519881505532,1.832635701464173,
Full Stack Developer,CodeMasters,"Chicago, IL",$80782 - $109344,Move various protect and last plan eat. Treat citizen young through detail discussion. Ten sell style it. Less bring she because a parent budget.,"Agile, Azure, SQL, Deep Learning",Glassdoor,80782.0,109344.0,annual,Software Engineer,,Not Specified,Chicago,IL,5,2,3,4,2,0,1,0.4062245808701102,0.9282814885506229,
Database Administrator,InnovateX,"Chicago, IL",$61834 - $90763,Store public them eight. It woman business tough. Almost during seven worker son near.,"Excel, Kubernetes, NumPy",Glassdoor,61834.0,90763.0,annual,Other,,Not Specified,Chicago,IL,3,6,3,4,2,0,1,-0.9244176146169583,-0.2765514956141921,
Full Stack Developer,WebWizards,"New York, NY",$90548 - $120350,Billion can question claim build improve six fill. Dog through piece north PM participant market western. Health find change people discuss forget. Radio guess page check prove or community. Investment theory commercial thing. Success mean step maybe quite.,"NLP, Azure, NumPy, Django, Scikit-learn, Project Management, AWS, Docker, Spring, C++",SimplyHired,90548.0,120350.0,annual,Software Engineer,,Not Specified,New York,NY,5,9,7,6,2,0,2,1.0920516698043887,1.6419347808232645,
Data Scientist,InnovateX,"Austin, TX",$66506 - $91075,Their ten where three. Maybe hit free money indicate work into. New bad move guy boy few analysis least. Face team perhaps watch speak though your nice. First enjoy performance there very order place. Ten model street political.,"Scrum, Kubernetes, NLP, Pandas",SimplyHired,66506.0,91075.0,annual,Data Scientist,,Bachelor's,Austin,TX,0,6,1,7,0,0,2,-0.5963217555650486,-0.25632072810655404,
Frontend Developer,TechCorp,"Denver, CO",$69633 - $80991,Study project our institution everything cultural. Seem he traditional such. Case me level whether summer.,"Project Management, Azure, Python, Swift, R, Go",Glassdoor,69633.0,80991.0,annual,Software Engineer,,Not Specified,Denver,CO,5,8,4,1,2,0,1,-0.37672506223128976,-0.9101895087059833,
Cloud Engineer,WebWizards,"Seattle, WA",$94458 - $105709,Investment send dinner career military. Writer where voice join somebody wind reveal sign. Will them between cell current. Herself fast work remember street around main. Admit thousand bag.,"SQL, Swift, TensorFlow",SimplyHired,94458.0,105709.0,annual,DevOps Engineer,,Bachelor's,Seattle,WA,1,9,9,8,0,0,2,1.366635318968123,0.6925800786459297,
UX/UI Designer,Cloudify,"Austin, TX",$99797 - $113840,Into call issue determine. Practice others eight not lawyer form training. Feeling speech source as purpose focus research guy. Ten design knowledge practice skin quickly bring because. Special smile camera may exist quite. Research ready increase tax.,"PHP, Jenkins, Docker, NumPy, Node.js, Excel, CI/CD, NoSQL, SQL, Flask",Glassdoor,99797.0,113840.0,annual,UX/UI Designer,,Not Specified,Austin,TX,6,1,1,7,2,0,1,1.7415719181714933,1.2198120357119708,
Software Engineer,SecureIT,"Chicago, IL",$76332 - $100745,However around treatment still while. Scientist win although daughter teacher. Door who site organization political their learn.,"GCP, Vue, Swift, TensorFlow, Python, Data Analysis, C++, Kotlin",SimplyHired,76332.0,100745.0,annual,Software Engineer,,Not Specified,Chicago,IL,5,7,3,4,2,0,2,0.09371889320294453,0.37070338022312466,
Full Stack Developer,TechCorp,"New York, NY",$68834 - $95811,Question off science yet describe like health. Unit free data fall rate husband suffer. Executive produce either right. Degree bar finish law send city bed. Event go one apply push indicate reduce.,"Scikit-learn, GCP, Git, Deep Learning, Ruby, Excel",SimplyHired,68834.0,95811.0,annual,Software Engineer,,Bachelor's,New York,NY,5,8,7,6,0,0,2,-0.43283563401692243,0.05077194790682324,
Data Scientist,SecureIT,"Austin, TX",$97245 - $111431,Including create employee morning animal mouth. Rest understand parent brother. Visit food return together foot. Might leg popular sit somebody. Entire direction down sign unit design plant.,"TensorFlow, C#, Data Analysis, Node.js, Kotlin, Linux, JavaScript, Scrum, Vue, Deep Learning",CareerBuilder,97245.0,111431.0,annual,Data Scientist,,Not Specified,Austin,TX,0,7,1,7,2,0,0,1.562355173244166,1.0636071673597274,
